Const,Title,Original Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date in Italy,Directors,Banning Date,Rerating,Sex and Nudity,Violence and Blood,Obscenity,"Alcool, Drugs and Smoking",Scary scenes
tt0063809,La ballata del piacere,The Wild Wild World of Jayne Mansfield,https://www.imdb.com/title/tt0063809/,Film,4.9,99,1968,"Documentario, Biografico, Commedia",367,7/1/1969,"Charles W. Broun Jr., Joel Holt, Arthur Knight",1968,VM18,,,,,
tt0061358,La bestia erotica,The Animal,https://www.imdb.com/title/tt0061358/,Film,6.9,88,1968,Thriller,89,10/22/1968,Lee Frost,1968,,Moderata,,,Moderata,Leggera
tt0125141,High Rise,High Rise,https://www.imdb.com/title/tt0125141/,Film,6.8,65,1973,"Per adulti, Commedia",71,7/23/1973,Danny Steinmann,1977,,,,,,
tt0256946,"Mulher, Mulher","Mulher, Mulher",https://www.imdb.com/title/tt0256946/,Film,6.2,100,1979,"Drammatico, Horror",86,,Jean Garret,1982,,,,,,
tt0044453,Il bruto,El bruto,https://www.imdb.com/title/tt0044453/,Film,7.2,81,1953,Drammatico,2298,6/30/1956,Luis Buñuel,1955,VM16,,,,,
tt0141746,Il saprofita,Il saprofita,https://www.imdb.com/title/tt0141746/,Film,5.8,100,1974,"Drammatico, Sentimentale",126,10/28/1974,Sergio Nasca,1974,VM18,,,,,
tt0052610,The Beat Generation,The Beat Generation,https://www.imdb.com/title/tt0052610/,Film,5.5,95,1959,"Poliziesco, Drammatico, Thriller",405,7/3/1959,Charles F. Haas,1959,,Leggera,Leggera,Leggera,Leggera,Leggera
tt0179871,Ingrid sulla strada,Ingrid sulla strada,https://www.imdb.com/title/tt0179871/,Film,5.5,97,1973,"Poliziesco, Drammatico",112,10/1/1973,Brunello Rondi,1973,VM18,,,,,
tt0170432,La portiera nuda,La portiera nuda,https://www.imdb.com/title/tt0170432/,Film,4.5,88,1976,Commedia,70,3/11/1976,Luigi Cozzi,1976,VM18,,,,,
tt0038161,They Were Sisters,They Were Sisters,https://www.imdb.com/title/tt0038161/,Film,6.8,115,1945,Drammatico,349,7/2/1945,Arthur Crabtree,1950,,,,,Leggera,Leggera
tt0070891,Amore alla francese,Vous intéressez-vous à la chose?,https://www.imdb.com/title/tt0070891/,Film,5.2,80,1974,Commedia,68,4/24/1974,Jacques Baratier,1975,VM18,,,,,
tt0261985,Sexual Aberration (Sesso perverso),Sexual Aberration (Sesso perverso),https://www.imdb.com/title/tt0261985/,Film,4.8,93,1979,Avventura,165,3/20/1980,Bruno Mattei,1979,VM18,,,,,
tt0046455,La tratta delle bianche,La tratta delle bianche,https://www.imdb.com/title/tt0046455/,Film,6.4,97,1952,"Poliziesco, Drammatico",229,9/25/1952,Luigi Comencini,1952,VM16,,,,,
tt0160440,La stagione del sole,Kurutta kajitsu,https://www.imdb.com/title/tt0160440/,Film,7.2,86,1956,"Drammatico, Sentimentale",2302,10/16/1959,Kô Nakahira,1959,VM16,Leggera,Moderata,Leggera,Leggera,Moderata
tt0067405,Maskarada,Maskarada,https://www.imdb.com/title/tt0067405/,Film,5.9,86,1971,Drammatico,288,5/13/1971,Bostjan Hladnik,1971,,Grave,,,Moderata,
tt0128536,Sleepy Head,Sleepy Head,https://www.imdb.com/title/tt0128536/,Film,5.8,84,1973,"Per adulti, Drammatico",89,5/17/1976,Joseph W. Sarno,1974,,,,,,
tt0040647,No Orchids for Miss Blandish,No Orchids for Miss Blandish,https://www.imdb.com/title/tt0040647/,Film,6.0,102,1948,"Poliziesco, Drammatico, Noir, Thriller",782,4/15/1948,St. John Legh Clowes,1951,,,,,,
tt0147539,Lo stallone,Lo stallone,https://www.imdb.com/title/tt0147539/,Film,6.1,87,1975,Drammatico,32,11/26/1975,Tiziano Longo,1975,VM18,,,,,
tt0075464,Blue Movie Sexycompulsion,Échanges de partenaires,https://www.imdb.com/title/tt0075464/,Film,6.3,70,1976,"Per adulti, Sentimentale",67,10/20/1976,Claude Mulot,1979,VM18,,,,,
tt0038476,Il diavolo in corpo,Le diable au corps,https://www.imdb.com/title/tt0038476/,Film,7.0,110,1947,"Drammatico, Sentimentale",916,10/15/1948,Claude Autant-Lara,1959,VM16,,,,,
tt0029826,Lo strano signor Vittorio,L'étrange Monsieur Victor,https://www.imdb.com/title/tt0029826/,Film,7.2,103,1938,"Poliziesco, Drammatico",391,5/4/1938,Jean Grémillon,1940,,,,,,
tt0051663,Girls on the Loose,Girls on the Loose,https://www.imdb.com/title/tt0051663/,Film,5.7,78,1958,"Poliziesco, Drammatico, Noir, Thriller",217,4/1/1958,Paul Henreid,1958,,,,,,
tt0056665,La voglia matta,La voglia matta,https://www.imdb.com/title/tt0056665/,Film,6.8,110,1962,"Commedia, Drammatico, Sentimentale",564,3/16/1962,Luciano Salce,1962,"VM16, Cut",,,,,
tt0040682,I parenti terribili,Les parents terribles,https://www.imdb.com/title/tt0040682/,Film,6.9,105,1948,Drammatico,1019,12/1/1948,Jean Cocteau,1951,VM16 ,,,,,
tt0282396,Bring Me the Head of Charlie Brown,Bring Me the Head of Charlie Brown,https://www.imdb.com/title/tt0282396/,Corto,7.2,4,1986,"Animazione, Cortometraggio, Azione, Commedia",501,6/27/1986,Jim Reardon,1986,,Leggera,Moderata ,Leggera,Leggera ,Moderata
tt0063839,"Zieh dich aus, Puppe","Zieh dich aus, Puppe",https://www.imdb.com/title/tt0063839/,Film,5.5,86,1968,"Commedia, Drammatico",52,7/19/1968,Ákos Ráthonyi,1969,,,,,,
tt0104551,Il ritorno,Jesus vender tilbage,https://www.imdb.com/title/tt0104551/,Film,4.4,104,1992,"Azione, Commedia, Sentimentale",99,3/13/1992,Jens Jørgen Thorsen,1992,VM18,,,,,
tt0064516,Sì pura come un angelo... resterà vergine???,Josefine - Das liebestolle Kätzchen,https://www.imdb.com/title/tt0064516/,Film,4.6,67,1969,Commedia,91,8/15/1969,Géza von Cziffra,1973,"VM18, Cut",,,,,
tt0128361,Morbosità,Morbosità,https://www.imdb.com/title/tt0128361/,Film,5.4,90,1974,"Drammatico, Thriller",31,8/21/1974,Luigi Russo,1974,"VM18, Cut, VM14",,,,,
tt1082822,Ragazze a pagamento,Les demoiselles à péage,https://www.imdb.com/title/tt1082822/,Film,4.7,79,1975,"Drammatico, Thriller",12,5/31/1905,Richard Balducci,1978,"VM18, Cut ",,,,,
tt0069999,La dolcissima Dorothea,Dorothea's Rache,https://www.imdb.com/title/tt0069999/,Film,5.9,92,1974,"Commedia, Drammatico, Sentimentale",290,5/30/1905,Peter Fleischmann,1974,"VM18, Cut",,,,,
tt0065586,Un uomo da letto,Cream - Schwabing-Report,https://www.imdb.com/title/tt0065586/,Film,3.7,85,1971,"Commedia, Drammatico",59,8/27/1971,Leon Capetanos,1973,"VM18, Cut",,,,,
tt0045818,Girls in the Night,Girls in the Night,https://www.imdb.com/title/tt0045818/,Film,6.9,83,1953,"Poliziesco, Drammatico, Noir",111,6/5/1953,Jack Arnold,1953,,,,,,
tt0061139,Un mondo nuovo,Un monde nouveau,https://www.imdb.com/title/tt0061139/,Film,6.5,83,1966,Drammatico,141,9/15/1966,Vittorio De Sica,1966,"VM18, Cut",,,,,
tt0189814,I piaceri della notte (Giochi d'amore),Noite Vazia,https://www.imdb.com/title/tt0189814/,Film,7.6,93,1964,Drammatico,662,5/20/1905,Walter Hugo Khouri,1967,"VM18, Cut",,,,,
tt0270929,La porno infermiera,Entrechattes,https://www.imdb.com/title/tt0270929/,Film,6.1,65,1978,Per adulti,81,5/10/1978,Gérard Kikoïne,1979,"VM18, Cut",Grave,,,Moderata,
tt0029526,Scipione l'africano,Scipione l'africano,https://www.imdb.com/title/tt0029526/,Film,5.3,117,1937,"Drammatico, Storico, Guerra",328,8/4/1937,Carmine Gallone,1950,Cut,,,,,
tt0289443,I sette magnifici cornuti,I sette magnifici cornuti,https://www.imdb.com/title/tt0289443/,Film,5.0,94,1974,Commedia,28,,Luigi Russo,1974,"VM18, Cut",,,,,
tt0065365,Deviati sessuali,Abarten der körperlichen Liebe,https://www.imdb.com/title/tt0065365/,Film,4.8,97,1970,Drammatico,33,3/18/1974,Franz Marischka,1973,"VM18, Cut",,,,,
tt0166264,La mano lunga del padrino,La mano lunga del padrino,https://www.imdb.com/title/tt0166264/,Film,5.1,86,1972,"Azione, Poliziesco",128,8/11/1972,Nardo Bonomi,1972,"VM18, Cut, VM14",Moderata ,,,Leggera,
tt0166847,Gola profonda particolare,Tôkyô dîpu surôto fujin,https://www.imdb.com/title/tt0166847/,Film,6.4,77,1975,,56,12/6/1975,Kan Mukai,1980,,Grave,,,,
tt0065183,Vita segreta di una diciottenne,Vita segreta di una diciottenne,https://www.imdb.com/title/tt0065183/,Film,6.7,85,1969,Drammatico,11,6/28/1969,Oscar Brazzi,1969,"VM18, Cut",,,,,
tt0026660,Cesare e Lucrezia Borgia,Lucrèce Borgia,https://www.imdb.com/title/tt0026660/,Film,6.1,93,1935,"Drammatico, Storico, Sentimentale",281,12/20/1935,Abel Gance,1946,Cut,,,,,
tt0036791,Enemy of Women,Enemy of Women,https://www.imdb.com/title/tt0036791/,Film,5.0,72,1944,"Drammatico, Guerra",185,11/10/1944,Alfred Zeisler,1947,,,,,,
tt0144232,Helga e gli uomini,Helga und die Männer - Die sexuelle Revolution,https://www.imdb.com/title/tt0144232/,Film,3.6,92,1969,Drammatico,22,4/24/1969,Roland Caemmerer,1969,,,,,,
tt0294658,Josephine Story,Josefine Mutzenbacher - Wie sie wirklich war: 1. Teil,https://www.imdb.com/title/tt0294658/,Film,7.7,94,1976,"Per adulti, Commedia",705,5/17/1976,Hans Billian,1980,,Grave,Nessuna,Leggera,Leggera,Nessuna
tt0032225,L'assedio dell'Alcazar,L'assedio dell'Alcazar,https://www.imdb.com/title/tt0032225/,Film,6.0,112,1940,"Drammatico, Guerra",242,8/20/1940,Augusto Genina,1940,Cut,Nessuna,Leggera,Nessuna,Leggera,Nessuna
tt0166371,Summit,Summit,https://www.imdb.com/title/tt0166371/,Film,5.8,100,1968,Drammatico,41,10/17/1968,Giorgio Bontempi,1968,"VM18, Cut",,,,,
tt0042729,Solo Dio può giudicare,Meurtres,https://www.imdb.com/title/tt0042729/,Film,6.7,120,1950,Drammatico,228,10/10/1950,Richard Pottier,1950,Cut,,,,,
tt0198572,Tous les chemins mènent à l'homme,Tous les chemins mènent à l'homme,https://www.imdb.com/title/tt0198572/,Film,3.3,79,1974,Commedia,16,7/17/1974,Jack Guy,1975,"VM18, Cut",,,,,
tt0204454,Will It Happen Again?,Will It Happen Again?,https://www.imdb.com/title/tt0204454/,Film,5.1,60,1948,Documentario,23,7/30/1948,Dwain Esper,1950,,,,,,
tt1577840,Les Queutardes,Les Queutardes,https://www.imdb.com/title/tt1577840/,Film,4.7,90,1977,Per adulti,29,8/24/1977,Dominique Goult,1977,,Grave,,,,
tt0143826,Eros e Thanatos,Raptus,https://www.imdb.com/title/tt0143826/,Film,5.3,78,1969,"Drammatico, Horror, Thriller",34,,Marino Girolami,1969,VM18,,,,,
tt0039790,La questione russa,Russkiy vopros,https://www.imdb.com/title/tt0039790/,Film,5.9,91,1948,Drammatico,116,3/8/1948,Mikhail Romm,1948,,,,,,
tt0145461,Il piacere è femmina,Das bumsfidele Heiratsbüro,https://www.imdb.com/title/tt0145461/,Film,3.3,89,1973,"Commedia, Drammatico",16,7/6/1973,Charles Ferrer,1977,"VM18, Cut",,,,,
tt0043701,Il cavaliere della stella d'oro,Kavalier zolotoy zvezdy,https://www.imdb.com/title/tt0043701/,Film,5.4,95,1951,Drammatico,66,7/9/1951,Yuli Raizman,1953,,,,,,
tt0057511,La smania addosso,La smania addosso,https://www.imdb.com/title/tt0057511/,Film,6.1,98,1963,"Commedia, Drammatico",51,2/20/1963,Marcello Andrei,1963,"VM18, Cut",,,,,
tt0073593,"Quant'è bella la Bernarda, tutta nera, tutta calda","Quant'è bella la Bernarda, tutta nera, tutta calda",https://www.imdb.com/title/tt0073593/,Film,4.6,92,1975,Commedia,22,12/31/1975,Lucio Dandolo,1973,"VM18, Cut",,,,,
tt0055244,Non uccidere,Tu ne tueras point,https://www.imdb.com/title/tt0055244/,Film,7.7,148,1961,"Drammatico, Guerra",79,4/21/1962,Claude Autant-Lara,1961,Cut,,,,,
tt0041640,La vergine scaltra,La Marie du Port,https://www.imdb.com/title/tt0041640/,Film,6.6,88,1950,"Poliziesco, Drammatico, Sentimentale",477,3/15/1950,Marcel Carné,1950,,,,,,
tt0034346,Uomini sul fondo,Uomini sul fondo,https://www.imdb.com/title/tt0034346/,Film,6.8,94,1941,Drammatico,102,2/13/1941,Francesco De Robertis,1941,,,,,,
tt0031017,Abuna Messias (Vendetta africana),Abuna Messias (Vendetta africana),https://www.imdb.com/title/tt0031017/,Film,6.6,93,1939,"Drammatico, Storico, Guerra",53,10/1/1939,Goffredo Alessandrini,1939,,,,,,
tt0136096,Dynamite,Dynamite,https://www.imdb.com/title/tt0136096/,Film,6.3,73,1972,"Per adulti, Commedia",27,4/9/1981,"John Amero, Lem Amero",1981,,,,,,
tt0071982,"Paradiso, la pensione del libero amore",La pension du libre amour,https://www.imdb.com/title/tt0071982/,Film,4.4,80,1974,"Commedia, Sentimentale",29,5/8/1974,Eddy Matalon,1978,VM18,,,,,
tt0063029,Il grande cerimoniale,Le grand cérémonial,https://www.imdb.com/title/tt0063029/,Film,5.4,105,1969,Drammatico,29,4/16/1969,Pierre-Alain Jolivet,1969,VM18,,,,,
tt0135664,Série noire,Série noire,https://www.imdb.com/title/tt0135664/,Film,6.5,88,1955,"Poliziesco, Drammatico",59,3/4/1955,Pierre Foucaud,1955,VM18,,,,,
tt0060948,Mercato nero dell'amore,Schwarzer Markt der Liebe,https://www.imdb.com/title/tt0060948/,Film,7.1,80,1966,,36,11/1/1969,Ernst Hofbauer,1969,VM18,,,,,
tt0144278,Liebesschule blutjunger Mädchen,Liebesschule blutjunger Mädchen,https://www.imdb.com/title/tt0144278/,Film,5.8,82,1973,Commedia,18,3/15/1973,Gustav Ehmck,1976,"VM18, Cut",,,,,
tt0037426,La grande svolta,Velikiy perelom,https://www.imdb.com/title/tt0037426/,Film,6.0,108,1945,"Drammatico, Guerra",254,1/29/1945,Fridrikh Ermler,1953,VM18,,,,Leggera,
tt0041402,Gatan,Gatan,https://www.imdb.com/title/tt0041402/,Film,5.5,87,1949,Drammatico,59,2/28/1949,Gösta Werner,1951,,,,,,
tt0068678,La ragazza di notte,Harlis,https://www.imdb.com/title/tt0068678/,Film,5.9,105,1972,"Commedia, Drammatico, Sentimentale",122,3/1/1973,Robert van Ackeren,1975,VM18 ,,,,,
tt0033941,La nave bianca,La nave bianca,https://www.imdb.com/title/tt0033941/,Film,5.7,77,1941,"Drammatico, Guerra",312,10/3/1941,Roberto Rossellini,1948,,,,,,
tt0196766,Morning After...,Morning After...,https://www.imdb.com/title/tt0196766/,Film,4.2,76,1972,"Per adulti, Poliziesco, Drammatico, Giallo",24,7/19/1975,Sidney Knight,1974,,,,,,
tt0035191,Un pilota ritorna,Un pilota ritorna,https://www.imdb.com/title/tt0035191/,Film,5.6,87,1942,"Drammatico, Guerra",306,4/8/1942,Roberto Rossellini,2000,"VM16, Cut",,,,,
tt0198914,Playgirl 70,Playgirl 70,https://www.imdb.com/title/tt0198914/,Film,7.0,90,1969,Commedia,18,11/27/1969,Federico Chentrens,1969,"VM18, Cut",,,,,
tt0171966,Italiani! È severamente proibito servirsi della toilette durante le fermate,Italiani! È severamente proibito servirsi della toilette durante le fermate,https://www.imdb.com/title/tt0171966/,Film,6.4,98,1969,Commedia,18,7/31/1969,Vittorio Sindoni,1969,VM14,,,,,
tt0135995,La casa delle demi-vierges,Donnerwetter! Donnerwetter! Bonifatius Kiesewetter,https://www.imdb.com/title/tt0135995/,Film,7.3,90,1969,Commedia,31,2/28/1970,Helmut Weiss,1969,VM18 ,,,,,
tt0144646,Totò che visse due volte,Totò che visse due volte,https://www.imdb.com/title/tt0144646/,Film,6.9,93,1998,"Commedia, Drammatico",591,3/20/1998,"Daniele Ciprì, Franco Maresco",1998,VM18,,,,,
tt0195906,Il nido dell'uccello,The Master and Ms. Johnson,https://www.imdb.com/title/tt0195906/,Film,4.8,67,1981,Per adulti,15,6/5/1905,Ted Roter,1981,VM18,,,,,
tt0064524,Mademoiselle de Sade e i suoi vizi,Juliette de Sade,https://www.imdb.com/title/tt0064524/,Film,5.5,83,1969,Drammatico,24,7/8/1971,Warren Kiefer,1971,VM18,,,,,
tt0055346,Le quatrième sexe,Le quatrième sexe,https://www.imdb.com/title/tt0055346/,Film,5.0,82,1963,Drammatico,27,8/1/1963,"Alphonse Gimeno, Michel Wichard",1963,,,,,,
tt0059428,Marcia nuziale,Marcia nuziale,https://www.imdb.com/title/tt0059428/,Film,6.7,83,1966,Commedia,252,2/17/1966,Marco Ferreri,1981,"VM14, Cut",,,,,
tt0064559,Kvinnolek,Kvinnolek,https://www.imdb.com/title/tt0064559/,Film,5.6,87,1968,Drammatico,49,9/28/1968,Joseph W. Sarno,1969,,,,,,
tt0040859,Un palmo di terra,Talpalatnyi föld,https://www.imdb.com/title/tt0040859/,Film,7.4,97,1948,Drammatico,165,12/23/1948,Frigyes Bán,1952,,,,,,
tt0057596,Totòsexy,Totosexy,https://www.imdb.com/title/tt0057596/,Film,4.6,90,1963,"Commedia, Musical",118,9/5/1963,Mario Amendola,1993,"VM18, Cut",,,,,
tt0197790,Questo sporco mondo meraviglioso,Questo sporco mondo meraviglioso,https://www.imdb.com/title/tt0197790/,Film,4.8,90,1971,Documentario,20,4/21/1971,"Mino Loy, Luigi Scattini",1971,"VM18, Cut",,,,,
tt0040236,Clochemerle,Clochemerle,https://www.imdb.com/title/tt0040236/,Film,7.4,90,1948,Commedia,92,6/9/1948,Pierre Chenal,1950,,,,,,
tt0036483,L'uomo dalla croce,L'uomo dalla croce,https://www.imdb.com/title/tt0036483/,Film,5.3,72,1943,Guerra,296,2/3/1943,Roberto Rossellini,1952,VM18,,,,,
tt0024485,Ragazzo,Ragazzo,https://www.imdb.com/title/tt0024485/,Film,,,1934,,0,4/17/1905,Ivo Perilli,1934,,,,,,
tt0067218,Hot Circuit,Hot Circuit,https://www.imdb.com/title/tt0067218/,Film,5.2,83,1971,Per adulti,36,3/12/1973,"Paul Glickler, Richard Lerner",1974,,,,,,
tt0371787,Latuko,Latuko,https://www.imdb.com/title/tt0371787/,Film,,56,1952,Documentario,0,1/18/1952,Edgar M. Queeny,1953,VM18,,,,,
tt0126860,The Debauchers,The Debauchers,https://www.imdb.com/title/tt0126860/,Film,5.6,76,1970,"Per adulti, Drammatico, Thriller",36,3/18/1974,Sidney Knight,1974,,,,,,
tt0198826,Le ragazze blue porno,Die neuen Abenteuer des Sanitätsgefreiten Neumann,https://www.imdb.com/title/tt0198826/,Film,4.9,65,1978,"Commedia, Per adulti",30,10/16/1980,Jürgen Enz,1980,"VM1, Cut",,,,,
tt0197206,A mosca cieca,A mosca cieca,https://www.imdb.com/title/tt0197206/,Film,6.3,66,1966,Drammatico,60,6/2/1966,Romano Scavolini,1967,,,,,,
tt0041934,Superstizione,Superstizione,https://www.imdb.com/title/tt0041934/,Corto,6.1,9,1948,"Documentario, Cortometraggio",208,11/1/1948,Michelangelo Antonioni,1950,Cut,,,,,
tt0778836,A Seita do Sexo Profano,A Seita do Sexo Profano,https://www.imdb.com/title/tt0778836/,Film,4.6,75,1985,Per adulti,9,6/7/1905,Fauzi Mansur,1987,,,,,,
tt0064414,Bellissima superdotata cercasi... per pose particolari,Helgalein,https://www.imdb.com/title/tt0064414/,Film,5.1,93,1969,,16,9/11/1969,Herbert Ballmann,1974,"VM18, Cut",,,,,
tt0257159,Sexual Customs in Scandinavia,Sexual Customs in Scandinavia,https://www.imdb.com/title/tt0257159/,Film,4.6,77,1972,Per adulti,15,2/11/1972,Sidney Knight,1974,,,,,,
tt0268269,Gole ingorde di 4 pornoereditiere,Doubles pénétrations,https://www.imdb.com/title/tt0268269/,Film,4.7,85,1977,Per adulti,21,8/10/1977,Michel Caputo,1981,,,,,,
tt0048739,Totò e Carolina,Totò e Carolina,https://www.imdb.com/title/tt0048739/,Film,7.0,84,1954,Commedia,332,1954,Mario Monicelli,1954,Cut,,,,,
tt0212551,Teresa altri desideri,Teresa altri desideri,https://www.imdb.com/title/tt0212551/,Film,5.3,127,1984,"Per adulti, Poliziesco, Giallo, Thriller",14,6/6/1905,"Bruno Vani, Renato Polselli",1983,,,,,,
tt0066778,Un apprezzato professionista di sicuro avvenire,Un apprezzato professionista di sicuro avvenire,https://www.imdb.com/title/tt0066778/,Film,5.5,98,1972,Drammatico,35,4/25/1972,Giuseppe De Santis,1972,"VM18, VM14, Cut",,,,,
tt0151718,L'amore di Nathalie,Nathalie après l'amour,https://www.imdb.com/title/tt0151718/,Film,,85,1970,Drammatico,0,3/3/1971,Boris Szulzinger,1970,"VM18, Cut",,,,,
tt2214747,...E il terzo gode,...E il terzo gode,https://www.imdb.com/title/tt2214747/,Film,4.3,75,1984,"Per adulti, Poliziesco",16,6/6/1905,Alberto Cavallone,1983,,,,,,
tt0042785,La Cina libera,Osvobozhdyonnyy Kitay,https://www.imdb.com/title/tt0042785/,Film,6.7,105,1951,Documentario,23,5/4/1905,"Sergey Gerasimov, Eduard Volk",1953,,,,,,
tt0198340,Profumo di vergine,Vromiki parthena,https://www.imdb.com/title/tt0198340/,Film,4.8,93,1975,Poliziesco,20,8/29/1975,Kostas Andritsos,1976,VM18,Moderata,Moderata,Leggera,Moderata,Moderata
tt0200447,Lollipop!,Asfalto Selvagem,https://www.imdb.com/title/tt0200447/,Film,6.4,89,1964,Drammatico,17,1968,J.B. Tanko,1968,VM18,,,,,
tt0069154,I racconti romani di una ex novizia,I racconti romani di una ex novizia,https://www.imdb.com/title/tt0069154/,Film,5.0,86,1973,"Drammatico, Storico",14,9/21/1973,Pino Tosini,1973,"VM18, Cut",,,,,
tt0032865,Oltre l'amore,Oltre l'amore,https://www.imdb.com/title/tt0032865/,Film,3.6,96,1940,Drammatico,12,9/2/1940,Carmine Gallone,1945,Cut,,,,,
tt0050640,"Liebe, wie die Frau sie wünscht","Liebe, wie die Frau sie wünscht",https://www.imdb.com/title/tt0050640/,Film,,93,1957,Drammatico,0,6/7/1957,Wolfgang Becker,1958,,,,,,
tt3532682,Guy Yells at Some Cats,Guy Yells at Some Cats,https://www.imdb.com/title/tt3532682/,Corto,,,2014,"Cortometraggio, Commedia",0,2/13/2014,J.R. Howell,2014,,Moderata,Moderata,Grave,Nessuna,Grave
tt0140074,Gibier de potence,Gibier de potence,https://www.imdb.com/title/tt0140074/,Film,6.5,106,1951,Drammatico,79,11/8/1951,Roger Richebé,1952,,,,,,
tt0178414,The Erotic Memoirs of a Male Chauvinist Pig,The Erotic Memoirs of a Male Chauvinist Pig,https://www.imdb.com/title/tt0178414/,Film,5.3,69,1973,"Per adulti, Commedia",13,1/7/1976,"John Butterworth, R.C. Horsch",1974,,,,,,
tt0077910,El maravilloso mundo del sexo,El maravilloso mundo del sexo,https://www.imdb.com/title/tt0077910/,Film,5.2,,1978,Commedia,19,10/9/1978,"Mariano V. García, Gil Carretero",1980,,,,,,
tt0042731,Varsavia città indomita,Robinson warszawski,https://www.imdb.com/title/tt0042731/,Film,5.0,86,1950,"Drammatico, Guerra",48,12/7/1950,Jerzy Zarzycki,1954,,,,,,
tt0041646,Maya,Maya,https://www.imdb.com/title/tt0041646/,Film,6.6,78,1949,Drammatico,83,12/9/1949,Raymond Bernard,1950,,,,,,
tt0034481,Avanti c'è posto...,Avanti c'è posto...,https://www.imdb.com/title/tt0034481/,Film,6.7,82,1942,"Commedia, Sentimentale",102,4/30/1942,Mario Bonnard,1942,Cut,,,,,
tt0778601,"AIDS, Furor do Sexo Explícito","AIDS, Furor do Sexo Explícito",https://www.imdb.com/title/tt0778601/,Film,3.1,80,1985,"Per adulti, Drammatico",21,1985,Fauzi Mansur,1988,,,,,,
tt0144128,Il carabiniere a cavallo,Il carabiniere a cavallo,https://www.imdb.com/title/tt0144128/,Film,6.3,84,1961,Commedia,100,8/31/1961,Carlo Lizzani,1961,Cut,,,,,
tt1123998,Un affare tranquillo,Un commerce tranquille,https://www.imdb.com/title/tt1123998/,Film,,120,1964,"Commedia, Drammatico",0,4/2/1967,"Guido Franco, Mel Welles",1967,,,,,,
tt0160950,Tahiti ou la joie de vivre,Tahiti ou la joie de vivre,https://www.imdb.com/title/tt0160950/,Film,,90,1957,Commedia,0,5/17/1957,Bernard Borderie,1958,,,,,,
tt0183430,Luce rossa,Luce rossa,https://www.imdb.com/title/tt0183430/,Film,,71,1980,Per adulti,0,8/13/1981,Angelo Pannacciò,1980,,,,,,
tt0144806,La toilette racconta,Das bumsfidele Häuschen,https://www.imdb.com/title/tt0144806/,Film,5.1,84,1971,Commedia,12,12/3/1971,Marijan Vajda,1975,,,,,,
tt0124300,Brevet fra afdøde,Brevet fra afdøde,https://www.imdb.com/title/tt0124300/,Film,6.4,78,1946,"Poliziesco, Drammatico, Guerra",25,10/28/1946,Johan Jacobsen,1949,,,,,,
tt0202545,Il rapporto,Il rapporto,https://www.imdb.com/title/tt0202545/,Film,,,1969,,0,1969,Lionello Massobrio,1970,,,,,,
tt0212500,Prostitution - Amori pericolosi,Seitenstrassen der Prostitution,https://www.imdb.com/title/tt0212500/,Film,,74,1967,Poliziesco,0,9/1/1967,Gerhard Ammann,1969,,,,,,
tt0063245,Love in Our Time,Love in Our Time,https://www.imdb.com/title/tt0063245/,Film,,87,1968,,0,11/24/1968,Elkan Allan,1970,,,,,,
tt0034444,Alfa Tau!,Alfa Tau!,https://www.imdb.com/title/tt0034444/,Film,7.2,80,1942,"Drammatico, Guerra",73,8/31/1942,Francesco De Robertis,1945,Cut,,,,,
tt0040439,Valzer celeste,Der himmlische Walzer,https://www.imdb.com/title/tt0040439/,Film,6.5,90,1948,"Commedia, Musica",17,6/1/1952,Géza von Cziffra,1951,T,,,,,
tt0336187,Comacchio piange,Comacchio piange,https://www.imdb.com/title/tt0336187/,Film,,,1951,Documentario,0,1951,Fabio Pittorru,1952,,,,,,
tt0396813,La vittoria del popolo cinese,Pobeda kitayskogo naroda,https://www.imdb.com/title/tt0396813/,Film,7.2,98,1950,"Documentario, Storico, Guerra",17,1953,"Ivan Lukinsky, Leonid Varlamov",1953,,,,,,
tt13449612,The Nightmare Returns: A CarrotKiller101 Movie,The Nightmare Returns: A CarrotKiller101 Movie,https://www.imdb.com/title/tt13449612/,Film,7.6,99,2020,"Animazione, Horror",11,11/11/2020,Alex Parrish,2020,,Leggera,Grave,Grave,Moderata,Grave
tt0383480,Luciano - Via dei Cappellari,Luciano - Via dei Cappellari,https://www.imdb.com/title/tt0383480/,Corto,,,1960,"Documentario, Cortometraggio",0,1960,Gian Vittorio Baldi,1961,,,,,,
tt8615192,Sexualation,Nude Astrop,https://www.imdb.com/title/tt8615192/,Film,,78,1968,"Poliziesco, Drammatico",0,11/1/1968,Edward G. Collins,1968,VM18,,,,,
tt0064484,L'indiscret,L'indiscret,https://www.imdb.com/title/tt0064484/,Film,,90,1969,,0,9/16/1974,François Reichenbach,1969,,,,,,
tt1483743,Autant en emporte l'histoire - La vie privée d'Hitler et d'Eva Braun,Autant en emporte l'histoire - La vie privée d'Hitler et d'Eva Braun,https://www.imdb.com/title/tt1483743/,Film,,75,1949,"Documentario, Storico",0,1/6/1950,Jacques Willemetz,1950,,,,,,
tt0183739,"San Miniato, luglio '44","San Miniato, luglio '44",https://www.imdb.com/title/tt0183739/,Corto,,,1954,"Cortometraggio, Drammatico",0,1954,"Paolo Taviani, Vittorio Taviani",1955,,,,,,
